#OTU ID	Control	SLE
d:Bacteria;p:Lentisphaerae;c:Lentisphaeria;o:Victivallales;f:Victivallaceae;g:Victivallis	5.65241065894e-06	2.82785845476e-05
d:Bacteria;p:Parcubacteria;Other;Other;Other;Other	2.15329929864e-06	0.0
d:Bacteria;p:Proteobacteria;Other;Other;Other;Other	8.07487236991e-07	8.03368879193e-07
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;Other;Other;Other	0.00168388005154	0.000806261007158
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Caulobacterales;f:Caulobacteraceae;g:Brevundimonas	0.0	6.42695103354e-07
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Hyphomicrobiaceae;g:Hyphomicrobium	0.0	1.12471643087e-06
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Methylobacteriaceae;g:Methylobacterium	1.07664964932e-06	1.60673775839e-06
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Phyllobacteriaceae;g:Phyllobacterium	3.4991113603e-06	4.82021327516e-07
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Rhodobacteraceae;g:Paracoccus	0.0	3.85617062013e-06
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodospirillales;f:Rhodospirillaceae;Other	0.000448424578943	0.00289791222102
